"","Artist","User","LIKE_ARTIST","Beautiful","Fun","Cool","Thoughtful","Current"
"1","47","45969",NA,0,0,0,0,0
"2","35","29118",NA,0,1,0,0,0
"3","14","31544",NA,1,0,0,1,0
"4","23","18085",NA,0,0,0,0,0
"5","23","18084",NA,0,0,0,0,0
"6","23","18082",NA,0,0,0,0,0
"7","23","18080",NA,0,0,0,0,0
"8","14","31541",NA,0,0,0,0,0
"9","46","43802",25,0,0,0,0,0
"10","23","18077",NA,0,0,0,0,0
"11","23","18076",NA,0,0,0,0,0
"12","49","48854",NA,0,0,0,0,0
"13","10","9855",50,0,0,0,0,1
"14","41","42696",5,0,0,0,0,0
"15","35","29117",NA,0,0,0,0,0
"16","23","18079",NA,0,0,0,1,0
"17","40","47338",57,0,0,0,0,0
"18","14","31548",NA,0,0,0,0,0
"19","35","29112",NA,0,0,0,0,0
"20","23","18094",NA,0,0,0,0,0
"21","41","41014",50,0,0,0,0,0
"22","23","18095",NA,0,0,0,0,0
"23","23","18096",NA,0,0,0,0,0
"24","23","18090",NA,0,0,0,0,0
"25","35","29115",NA,0,0,0,0,0
"26","35","29110",NA,0,0,0,0,0
"27","35","29111",NA,0,0,0,0,0
"28","35","29113",NA,1,1,0,0,0
"29","23","18093",NA,0,0,0,1,0
"30","23","18097",NA,0,1,1,0,1
"31","35","29114",NA,0,0,0,0,0
"32","46","43803",30,0,0,0,0,0
"33","23","18081",NA,0,0,0,0,1
"34","23","18087",NA,0,0,0,0,0
"35","23","18088",NA,0,0,0,1,0
"36","49","48862",NA,0,0,0,0,0
"37","40","47336",69,0,0,0,0,0
"38","49","48864",NA,1,1,0,0,1
"39","23","18089",NA,0,0,0,0,0
"40","49","48865",NA,0,0,0,0,0
"41","46","43806",22,0,0,0,0,0
"42","47","45984",NA,0,0,0,0,1
"43","35","29129",NA,0,0,0,0,0
"44","23","18069",NA,0,0,0,0,0
"45","23","18060",NA,0,0,0,0,0
"46","49","48829",NA,0,0,0,0,0
"47","49","48828",NA,1,0,0,1,0
"48","49","48827",NA,1,0,0,0,0
"49","39","31020",50,0,0,1,1,0
"50","23","18063",NA,0,0,0,0,0
"51","23","18062",NA,0,0,0,0,0
"52","23","18061",NA,0,0,0,0,0
"53","23","18057",NA,0,0,0,0,0
"54","23","18055",NA,0,0,0,0,0
"55","10","9830",48,0,0,0,0,0
"56","49","48830",NA,0,0,0,0,0
"57","23","18056",NA,0,0,0,1,0
"58","23","18072",NA,0,0,0,0,0
"59","23","18073",NA,0,0,0,1,0
"60","49","48831",NA,1,1,1,1,1
"61","49","48839",NA,0,0,0,0,0
"62","23","18074",NA,0,0,0,0,0
"63","39","31024",34,0,0,1,1,0
"64","23","18075",NA,0,0,0,0,0
"65","23","18070",NA,0,0,0,0,0
"66","23","18066",NA,0,0,0,0,0
"67","49","48846",NA,1,0,1,0,0
"68","23","18068",NA,0,0,0,0,0
"69","23","18067",NA,0,0,0,1,0
"70","35","29109",NA,0,0,0,0,0
"71","47","45960",NA,0,0,0,0,0
"72","49","48847",NA,0,0,0,0,0
"73","26","23613",29,1,1,1,0,1
"74","14","31584",NA,0,0,0,0,0
"75","35","29146",NA,0,0,0,0,0
"76","23","18048",NA,0,0,0,0,0
"77","23","18047",NA,0,0,0,0,0
"78","14","31586",NA,0,0,0,0,0
"79","35","29142",NA,0,0,0,0,1
"80","46","43844",28,0,0,0,0,0
